Country Name,GHG Energy,CO2 MARBUNK,CO2 AVBUNK,CO2-TES,CO2-GDP,CO2-GDP PPP,CO2-POP
Albania,,0.01535607217307692,0.03451835469230768,46.23925000000001,0.7383076923076922,0.2502307692307692,1.513921568627451
Algeria,132.7987355158824,0.903763643,1.05434599725,56.28994117647059,0.6051960784313725,0.2104117647058823,2.112490196078432
Angola,24.7398092485098,0.4672213720576923,0.7270113781923075,19.91005882352941,0.1093137254901961,0.06213725490196079,0.3984313725490196
Argentina,150.4307187934615,2.011673396692307,1.901474619346153,52.68646153846156,0.2953461538461539,0.2195769230769231,3.455176470588236
Armenia,,0.0,0.1702066131515151,43.3163125,0.9227272727272727,0.3338181818181817,1.7698125
Australia,325.8242860480769,2.818554947846153,6.032356399249998,71.60709615384616,0.4111923076923076,0.4554999999999998,15.31351923076923
Austria,,0.03527690615384615,1.194168973153846,51.8638653846154,0.2221346153846153,0.1968076923076923,7.341249999999998
Azerbaijan,44.02923137076925,0.08158721218181818,0.7577515914848485,52.24172727272727,1.488787878787879,0.547848484848485,3.685156249999999
Bahrain,19.86233229037255,0.115815549,1.254810502788462,51.08076470588237,1.044666666666666,0.5195294117647058,20.94213725490196
Bangladesh,33.89023906447058,0.1658960430769231,0.4761932139615385,27.91211764705882,0.2058823529411764,0.07203921568627451,0.2049607843137254
Belarus,,0.0,0.104972118030303,50.77556250000001,1.96765625,0.6486562500000002,6.099156250000002
Belgium,,15.689910541,2.840122419403846,50.83425,0.3547307692307691,0.3148461538461539,10.39967307692308
Benin,2.578957417309804,0.0002086018653846154,0.07639946942307695,15.47611764705882,0.2453725490196078,0.0915294117647059,0.2380196078431372
Bolivia,14.84998106190196,0.0,0.06920085446153847,47.04670588235295,0.4835294117647059,0.2058039215686275,0.9754901960784313
Bosnia and Herzegovina,,0.0,0.04362186796969698,74.53406060606062,1.829060606060605,0.7197878787878789,4.35190625
Botswana,3.448512788529412,0.0,0.02051450407692308,48.78529411764707,0.4478235294117647,0.1958627450980392,1.857
Brazil,293.3824963019232,6.254724411980769,2.768558401942307,33.78221153846153,0.2321923076923077,0.1387884615384616,1.536882352941176
Brunei Darussalam,7.129816870392156,0.1269803741923076,0.1607931036346154,47.60927450980392,0.3854117647058824,0.1919607843137255,13.72305882352941
Bulgaria,,0.3367548123846155,0.7014246440000002,62.34423076923075,1.446961538461539,0.5568653846153846,7.038627450980393
Cambodia,,0.0,0.1177669749285714,22.64318518518519,0.3851111111111111,0.1320370370370371,0.351037037037037
Cameroon,9.979763942470589,0.06114552646153845,0.1562620367692308,12.02447058823529,0.1562549019607843,0.06366666666666668,0.2042745098039216
Canada,506.2509067807694,2.41255719075,4.82147389451923,48.27873076923076,0.4708653846153847,0.45975,15.57190384615385
Chile,47.66310701788461,0.9826434433076922,0.9640570585576922,50.70446153846154,0.3703461538461539,0.2215384615384615,2.930153846153845
Chinese Taipei,,5.045165104211539,4.287708873576924,57.63698039215686,0.726333333333333,0.3522745098039215,7.647098039215685
Colombia,66.31018523807693,0.7499428336923077,1.936670198423077,46.04675000000002,0.3312291666666667,0.1540416666666667,1.373288461538461
Congo,7.69811583577647,0.004319175519230769,0.08768048109615381,21.98409803921569,0.1908627450980392,0.1006862745098039,0.3529019607843139
Costa Rica,,0.157309250576923,0.2530453610384615,38.57392307692309,0.1446153846153846,0.09846153846153848,1.156865384615385
Croatia,,0.05280585433333333,0.2759009945151515,46.36857575757574,0.3797878787878788,0.1943636363636364,3.89765625
Cuba,27.58510427784313,0.4688257149230769,0.570397228423077,52.50886274509805,0.5554313725490195,0.1788039215686275,2.528039215686274
Curaçao,,6.204819116076924,0.1892566452307692,57.41903921568628,3.099313725490196,2.463607843137256,33.44423529411765
Cyprus,,0.3856056576923077,0.6161457981346152,70.46696153846155,0.4124038461538462,0.3032692307692307,6.940352941176466
Czech Republic,,0.0,0.6910043267499998,71.11665384615382,1.145057692307692,0.6021923076923077,12.99915384615385
Côte d'Ivoire,6.777361395274511,0.3026304256153846,0.2680529769615385,19.99278431372549,0.1687254901960784,0.07152941176470588,0.3460980392156863
DPR of Korea,,0.0,0.0,83.1217843137255,3.100647058823529,0.8580784313725491,3.893960784313726
Dem. Rep. of Congo,7.56015231609804,0.06833286928846152,0.3562622442884615,4.505254901960782,0.0845294117647059,0.04639215686274508,0.06080392156862743
Denmark,52.44889215211541,2.467982861442308,1.995923000807692,64.78638461538459,0.2390192307692308,0.2595769230769231,9.534153846153847
Dominican Republic,,0.0,0.6709042143461539,51.87937254901961,0.3906274509803921,0.1833921568627451,1.559372549019608
Ecuador,27.13873882807843,0.9440901422884616,0.4640049333846154,51.83158823529413,0.3192352941176471,0.1769803921568627,1.507333333333333
Egypt,126.4212685070588,3.775903804096155,1.184734538038461,55.59433333333335,0.6061372549019607,0.1809411764705883,1.43221568627451
El Salvador,,0.0,0.2054812025384616,28.10464705882354,0.2295882352941177,0.1120980392156862,0.7219803921568627
Equatorial Guinea,5.652717599414634,0.0,0.05109710973809524,29.65251219512195,0.3370975609756098,0.1580975609756098,1.306634146341463
Eritrea,0.7442159187466669,0.1083739563548387,0.02869681641935485,17.12023333333333,0.3491666666666667,0.1323,0.2176666666666666
Estonia,10.94866439218269,0.6152681066969696,0.1055340933030303,70.25012121212123,1.059939393939394,0.6313636363636365,12.09245454545455
Ethiopia,11.91540656633333,0.01450249296153846,0.5923733284615383,3.682901960784315,0.1604705882352941,0.06054901960784312,0.05749019607843138
